gid	key	parent_key	parent_table	playback-scenario	text
gid_2016_05_07_nynmlb_sdnmlb_1	123	20	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469483/1462726960015/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	124	20	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469483/1462726960015/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	125	20	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469483/1462726960015/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	126	21	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/671439183/1462692496839/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	127	21	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671439183/1462692497047/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	128	21	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671439183/1462692497047/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	129	21	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671439183/1462692497047/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	130	21	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671439183/1462692497047/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	131	21	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671439183/1462692497047/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	132	22	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/671621083/1462693774079/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	133	22	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671621083/1462693774284/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	134	22	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671621083/1462693774284/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	135	22	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671621083/1462693774284/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	136	22	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671621083/1462693774284/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	137	22	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671621083/1462693774284/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	138	23	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670702583/1462699943232/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	139	23	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670702583/1462699943442/master_mobile.m3u8
